edgeID,startNode,endNode
CCONF002L1_WELEV00HL1,CCONF002L1,WELEV00HL1
CCONF003L1_CHALL002L1,CCONF003L1,CHALL002L1
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1
CDEPT003L1_CHALL014L1,CDEPT003L1,CHALL014L1
CDEPT004L1_CHALL002L1,CDEPT004L1,CHALL002L1
CHALL001L1_CREST001L1,CHALL001L1,CREST001L1
CHALL002L1_CSERV001L1,CHALL002L1,CSERV001L1
CHALL003L1_CCONF003L1,CHALL003L1,CCONF003L1
CHALL003L1_CLABS004L1,CHALL003L1,CLABS004L1
CHALL004L1_CREST004L1,CHALL004L1,CREST004L1
CHALL005L1_WELEV00ML1,CHALL005L1,WELEV00ML1
CHALL006L1_CHALL007L1,CHALL006L1,CHALL007L1
CHALL007L1_CHALL008L1,CHALL007L1,CHALL008L1
CHALL008L1_CDEPT004L1,CHALL008L1,CDEPT004L1
CHALL008L1_WELEV00KL1,CHALL008L1,WELEV00KL1
CHALL009L1_CHALL010L1,CHALL009L1,CHALL010L1
CHALL009L1_CRETL001L1,CHALL009L1,CRETL001L1
CHALL010L1_CREST003L1,CHALL010L1,CREST003L1
CHALL011L1_WELEV00JL1,CHALL011L1,WELEV00JL1
CHALL012L1_CHALL013L1,CHALL012L1,CHALL013L1
CHALL013L1_CDEPT002L1,CHALL013L1,CDEPT002L1
CHALL014L1_WELEV00LL1,CHALL014L1,WELEV00LL1
CHALL015L1_CCONF001L1,CHALL015L1,CCONF001L1
CHALL015L1_CHALL011L1,CHALL015L1,CHALL011L1
CLABS001L1_CREST002L1,CLABS001L1,CREST002L1
CLABS002L1_CHALL005L1,CLABS002L1,CHALL005L1
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1
CLABS003L1_CHALL006L1,CLABS003L1,CHALL006L1
CLABS004L1_CLABS003L1,CLABS004L1,CLABS003L1
CLABS005L1_CHALL003L1,CLABS005L1,CHALL003L1
CREST002L1_CHALL006L1,CREST002L1,CHALL006L1
CREST003L1_CHALL015L1,CREST003L1,CHALL015L1
CREST004L1_CLABS005L1,CREST004L1,CLABS005L1
CRETL001L1_CHALL012L1,CRETL001L1,CHALL012L1
CSERV001L1_CCONF002L1,CSERV001L1,CCONF002L1
WELEV00HL1_CHALL004L1,WELEV00HL1,CHALL004L1
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1
WELEV00ML1_CLABS001L1,WELEV00ML1,CLABS001L1
GEXIT001L1_GHALL002L1,GEXIT001L1,GHALL002L1
GHALL002L1_GHALL003L1,GHALL002L1,GHALL003L1
GHALL003L1_GHALL004L1,GHALL003L1,GHALL004L1
GHALL003L1_GHALL005L1,GHALL003L1,GHALL005L1
GHALL005L1_GSTAI008L1,GHALL005L1,GSTAI008L1
GHALL005L1_GHALL006L1,GHALL005L1,GHALL006L1
GHALL006L1_GELEV007L1,GHALL006L1,GELEV00QL1
